severe drought,Negative
severe drought,Negative
severe drought,Negative
severe drought,Negative
severe drought,Negative
severe drought,Negative
severe drought,Negative
drought scarcity,Negative
drought scarcity,Negative
crop quality,Positive
drought free,Positive
drought kill,Negative
farmer death,Negative
drought condition,Negative
farming method,Positive
climate pollution,Negative
address drought,Positive
farming technique,Positive
drought kill,Negative
drought scarcity,Negative
crop quality,Positive
farmer suicides,Negative
